(1.95, -0.392, -2.435)
1.5765939, -0.3733856, -2.722556, 0.119617194
1.5826415, -0.37439048, -2.7220619, 0.12501346
1.5882424, -0.37496704, -2.7226622, 0.11841802
1.5972614, -0.37531006, -2.7236874, 0.11182259
1.6024026, -0.37722608, -2.7241504, 0.09803213
1.6073594, -0.37720376, -2.724528, 0.11062342
1.6203575, -0.3776068, -2.724008, 0.032077793
1.6532462, -0.37991583, -2.7161329, 0.13160889
1.6821808, -0.37920776, -2.7069113, 0.1274118
1.6898497, -0.38138467, -2.7013414, 0.13940349
1.6868289, -0.38300872, -2.7005591, 0.14959644
1.6893642, -0.38296518, -2.694958, 0.14509955
1.6917273, -0.3812573, -2.6950424, 0.13280806
1.6955907, -0.37861955, -2.694904, 0.1510954
1.6917939, -0.3829339, -2.694497, 0.1549927
1.6886604, -0.38526648, -2.6972542, 0.14959644
1.8081888, -0.39148086, -2.622145, 0.15589207
1.8067353, -0.39166278, -2.622332, 0.15439312
1.806532, -0.3914968, -2.6220713, 0.1468983
1.807461, -0.39122978, -2.6218417, 0.15559229
1.807512, -0.39111093, -2.6217782, 0.15709125
1.8080328, -0.3912861, -2.621729, 0.15409333
1.8075439, -0.39143866, -2.6219373, 0.15709125
1.8076825, -0.3911615, -2.6219492, 0.14180183
1.8079611, -0.3910675, -2.6213562, 0.14869706
1.8081315, -0.39109582, -2.6214948, 0.14749789
