#0.0, 0.0, 0.0, 1.5688139
#0.0, 0.0, 0.0, 1.5205474
#0.0, 0.0, 0.0, 1.6032901
#0.0, 0.0, 0.0, 1.6305711
#0.0, 0.0, 0.0, 1.5682143
#0.0, 0.0, 0.0, 1.5841033
#0.0, 0.0, 0.0, 1.5906988
#0.0, 0.0, 0.0, 1.5829042
0.00053553656, -0.0006729942, 0.000713177, 1.5598202
0.010751449, 0.0026245685, -0.009878278, 1.6209779
0.021415351, 0.0061479816, -0.017517716, 1.5886003
0.02970232, 0.0067575164, -0.019602038, 1.6248751
0.030638516, 0.008971582, -0.023912005, 1.6599509
0.029745162, 0.02038609, -0.044826776, 1.6647475
0.015707295, 0.04784837, -0.0805024, 1.723207
-0.01222859, 0.07734421, -0.12055191, 1.6176801
-0.053855002, 0.10369733, -0.15837632, 1.6788378
-0.107302524, 0.14059573, -0.1914866, 1.728903
-0.1649264, 0.17334056, -0.22314352, 1.7004228
-0.22297192, 0.18647823, -0.25331855, 1.6767392
-0.27385786, 0.18645182, -0.2750971, 1.7283036
-0.30528265, 0.17826772, -0.27988777, 1.5805058
-0.32840794, 0.18822049, -0.27173144, 1.6767392
-0.35247877, 0.23192126, -0.26265332, 1.7381967
-0.35753387, 0.295417, -0.24135087, 1.7726728
-0.34224218, 0.3566716, -0.22212853, 1.6410639
-0.3011887, 0.41098675, -0.20381732, 1.9969176
-0.2508841, 0.44710693, -0.18725958, 1.8275348
-0.1980957, 0.47243682, -0.17097236, 1.9180721
-0.14741066, 0.4842092, -0.15112454, 2.0877547
-0.09503054, 0.49452713, -0.13311906, 2.1794913
-0.044687357, 0.50235075, -0.11480619, 2.106042
-0.0012483643, 0.50448525, -0.09440985, 2.1252286
0.04840218, 0.5072149, -0.06726636, 2.004712
0.10888779, 0.5086221, -0.025094375, 1.9234684
0.17599967, 0.50533694, 0.013429794, 1.9567454
0.23954046, 0.49873528, 0.0376516, 2.0104082
0.29249007, 0.48896548, 0.051548563, 2.1369207
0.31528103, 0.45511883, 0.06713047, 2.0244985
0.30362916, 0.3845531, 0.10332102, 1.9942194
0.26511925, 0.31200093, 0.13932537, 1.8455224
0.20739155, 0.24471395, 0.17048535, 1.7774695
0.14682744, 0.19022225, 0.2015865, 1.6659467
0.09157429, 0.15342158, 0.2393599, 1.56012
0.049330994, 0.12485432, 0.29235876, 1.4539934
0.024786022, 0.10451464, 0.35069612, 1.297202
0.010698963, 0.08256158, 0.4097882, 1.2099624
0.003596906, 0.065238886, 0.45409486, 1.6779383
#0.00987819, 0.040196035, 0.5164653, 1.9267662
#0.02360898, 0.012251019, 0.7074419, 1.3508648
#0.024435248, 0.011159101, 0.7545762, 1.6923285
#0.025658967, -0.00023328047, 0.79215366, 2.2916136
#0.026144706, -0.01358314, 0.8175386, 1.3334769
#0.022986466, -0.017877754, 0.83207583, 1.6809363
#0.00829353, -0.02267384, 0.8379615, 0.9500423
#-1.4849123, -0.05341513, -0.026678182, 1.2903067
#-1.4450175, -0.038366165, -0.1641024, 2.1950803
#-1.4143692, -0.039120175, -0.16321936, 1.4267123
#-1.3680077, -0.047271937, -0.14440268, 1.3121916
#-1.3130124, -0.051463544, -0.10793422, 1.3148897
#-1.2587168, -0.058067165, -0.055955447, 1.2753171
#-1.2123704, -0.06599673, -4.8808753e-05, 1.3181875
