(-5.709, -0.363, -6.383)
-0.20750643, 0.05441081, -4.7519155, 4.4929895
-0.18621016, 0.050305028, -4.832014, 4.3466907
-0.15981829, 0.05264502, -4.916534, 4.1967945
-0.12635636, 0.044608302, -4.9903255, 4.1335382
-0.06926433, 0.03818692, -5.10069, 4.019917
-0.0148729645, 0.040732194, -5.1996098, 3.9557614
0.04092144, 0.054909248, -5.294463, 3.9
0.09201707, 0.069936305, -5.3842363, 3.7851796
0.13615575, 0.07463081, -5.466293, 3.7360137
0.1728436, 0.08363083, -5.5584207, 3.7045355
0.20293401, 0.09771521, -5.6541495, 3.4479132
0.24004366, 0.12799077, -5.746036, 3.3855562
0.2713977, 0.16848026, -5.8202796, 3.6508725
0.29254934, 0.20071998, -5.875167, 3.3432856
0.31365508, 0.2046146, -5.922452, 3.2824275
0.3549119, 0.16669957, -6.032435, 3.976447
0.34587765, 0.15317662, -6.060427, 3.79927
0.30873585, 0.13162485, -6.1235056, 3.752802
0.27508157, 0.124942064, -6.158205, 3.7731879
0.24273638, 0.121350646, -6.183548, 3.7890768
0.21454994, 0.11548658, -6.20207, 4.1449304
0.19151507, 0.112008914, -6.215505, 3.816358
0.17258136, 0.11047368, -6.226551, 4.016619
0.16088313, 0.10433693, -6.2339745, 3.9155893
0.15801804, 0.10131985, -6.23923, 3.949166
0.16128337, 0.10121876, -6.2417517, 3.921585
0.16641742, 0.09914957, -6.2410808, 4.0960646
0.1714765, 0.096665025, -6.239742, 3.0180106
0.17587061, 0.095030606, -6.2373915, 3.584019
0.18140063, 0.09178913, -6.234655, 3.2098777
0.18593094, 0.09120047, -6.2332172, 4.221078
0.1851871, 0.09114492, -6.233907, 3.271935
0.18491644, 0.08717103, -6.235368, 3.2839265
0.18485774, 0.08647714, -6.235518, 3.240157
0.18565601, 0.08560035, -6.2414274, 3.2362597
0.19294073, 0.080767035, -6.2540836, 3.1445231
0.20901476, 0.07039599, -6.277564, 3.2005842
0.23056723, 0.0647136, -6.304985, 3.1325314
0.26755425, 0.05940781, -6.353565, 2.9964256
0.3202722, 0.056389373, -6.4104986, 2.958352
0.36759132, 0.055840444, -6.4756265, 2.8929973
0.40344805, 0.060759995, -6.5332274, 2.782374
0.43600887, 0.068137094, -6.5971484, 2.7655854
0.46758607, 0.06359711, -6.680741, 2.8105543
0.5006386, 0.059096057, -6.7826357, 2.6792452
0.53610504, 0.06271894, -6.8976684, 2.6153893
0.5750332, 0.070550844, -7.005577, 2.5842109
0.6105402, 0.0751878, -7.074788, 2.4672918
0.6607896, 0.063754186, -7.165304, 2.3383813
0.7333188, 0.047345977, -7.2831125, 2.1878853
0.8087802, 0.052289467, -7.3795567, 2.1276271
0.86642456, 0.06638664, -7.4445715, 2.163902
0.93048733, 0.06520641, -7.5302176, 2.098847
1.0111898, 0.05114848, -7.640398, 1.9072796
1.0844736, 0.04335124, -7.740841, 1.770874
1.1855717, 0.04665558, -7.8465056, 1.7061188
1.2626834, 0.058864597, -7.919869, 1.5844032
1.358624, 0.053947013, -8.000857, 1.5346376
1.4600735, 0.04376633, -8.079351, 1.4267123
1.544632, 0.05928078, -8.134816, 1.2825122
1.6154525, 0.06831165, -8.1859255, 1.2561305
1.6999779, 0.059066202, -8.248104, 1.1461066
1.7748132, 0.04771789, -8.298483, 1.1320163
1.8445091, 0.053632174, -8.33563, 1.0798525
1.9094988, 0.052114982, -8.35228, 1.0288877
1.9637725, 0.05426139, -8.347977, 0.9746253
2.015282, 0.054395143, -8.337622, 0.8927819
2.080192, 0.05141144, -8.314985, 0.8085403
2.154253, 0.039182074, -8.286245, 0.76956725
2.2153242, 0.0314796, -8.257361, 0.67753094
2.2725327, 0.018438991, -8.217928, 0.6241679
2.3029912, 0.013717208, -8.180552, 0.60947806
2.3351161, 0.02382057, -8.141883, 0.5902913
2.3838005, 0.026481407, -8.1235285, 0.54502267
2.4562786, 0.020740852, -8.110744, 0.51384425
2.5319548, 0.0044887867, -8.091831, 0.381336
2.6033351, -0.008515502, -8.074856, 0.30458912
2.6387117, -0.012266784, -8.071862, 0.29049888
2.6613684, -0.02234113, -8.0745535, 0.27371052
2.6696985, -0.036894403, -8.078666, 0.2782074
2.667198, -0.045177512, -8.081394, 0.27490968
2.667578, -0.053896382, -8.084264, 0.27700824
2.6659644, -0.061966553, -8.090774, 0.27910677
2.662671, -0.07552354, -8.09429, 0.24852794
2.6598845, -0.08250002, -8.097747, 0.23503728
2.659306, -0.0866164, -8.102435, 0.25152588
2.6653008, -0.080134705, -8.108886, 0.2548236
2.668395, -0.07581033, -8.112821, 0.2785072
2.6687782, -0.07204139, -8.113247, 0.29559538
2.615707, -0.07279687, -8.135291, 0.28420326
2.6253567, -0.08449562, -8.139593, 0.28510264
2.634588, -0.09994155, -8.138388, 0.27700824
2.650732, -0.11833717, -8.129451, 0.23563688
2.673638, -0.13964294, -8.115452, 0.23113999
2.6994452, -0.16501734, -8.099364, 0.19246675
2.7143252, -0.1952728, -8.073491, 0.17238066
2.7213035, -0.2252572, -8.050351, 0.082442924
2.7264, -0.24753179, -8.03248, 0.04017219
2.7348988, -0.28003582, -8.0189705, 0.49375817
2.7429876, -0.3106729, -8.011101, 0.25572297
2.7467117, -0.33465356, -8.009087, 0.2269429
2.7443292, -0.33809403, -8.01013, 0.16428627
2.7451034, -0.33552587, -8.014153, 0.1789761
2.7452562, -0.34048623, -8.020972, 0.17747714
2.748191, -0.34165937, -8.032568, 0.19426551
2.7466366, -0.34403545, -8.032325, 0.19816281
2.7419922, -0.344031, -8.02678, 0.18796988
2.7388828, -0.3487441, -8.025648, 0.1750788
2.738418, -0.35506237, -8.028063, 0.19666386
2.741154, -0.35071328, -8.025962, 0.18587132
2.743213, -0.3515458, -8.024779, 0.17957568
2.7431643, -0.34658515, -8.022314, 0.16428627
2.7423623, -0.34657195, -8.021788, 0.14749789
2.7435322, -0.34442475, -8.023684, 0.17627797
2.745551, -0.3420148, -8.025787, 0.16818357
2.7463932, -0.34090626, -8.027798, 0.18437237
